date	Afghanistan	Central African Republic	Chad	Colombia	Democratic Republic of the Congo	Eritrea	Ethiopia	Haiti	Indonesia	Mali	Myanmar	Niger	occupied Palestinian territories	Pakistan	Philippines	Somalia	Sudan	South Sudan	Syria	Yemen
1960	33.39	27.975	26.546	12.183	22.794	25.323	25.001	22.269	20.312	36.447	21.793	27.854	NA	19.841	11.182	26.751	17.514	32.461	15.641	32.616
1961	32.773	27.553	26.24	11.845	22.589	25	24.396	21.76	19.647	36.28	21.184	27.898	3.528	19.146	10.922	26.371	17.211	32.038	15.151	31.74
1962	32.168	27.118	25.937	11.537	22.394	24.67	23.839	21.252	18.988	36.064	20.536	27.947	3.572	18.491	10.67	25.994	16.918	31.628	14.66	30.897
1963	31.572	26.665	25.639	11.247	22.199	24.331	23.337	20.746	18.338	35.781	19.83	27.996	3.9	17.876	10.425	25.62	16.632	31.219	14.168	30.078
1964	30.984	26.192	25.346	10.967	21.996	23.982	22.896	20.243	17.703	35.419	19.068	28.041	4	17.301	10.189	25.25	16.351	30.801	13.678	29.272
1965	30.402	25.69	25.052	10.691	21.776	23.619	22.516	19.754	17.084	34.968	18.277	28.075	4.1	16.767	9.96	24.882	16.073	30.37	13.188	28.47
1966	29.826	25.152	24.749	10.417	21.533	23.241	22.191	19.286	16.482	34.43	17.501	28.093	NA	16.274	9.735	24.517	15.796	29.929	12.697	27.667
1967	29.257	24.579	24.432	10.146	21.269	22.848	21.91	18.85	15.897	33.823	16.788	28.092	4.3	15.82	9.516	24.155	15.521	29.485	12.208	26.867
1968	28.696	23.974	24.098	9.88	20.991	22.446	21.663	18.453	15.329	33.168	16.174	28.067	NA	15.401	9.303	23.796	15.25	29.045	11.72	26.07
1969	28.144	23.343	23.754	9.62	20.702	22.037	21.447	18.095	14.78	32.478	15.669	28.014	NA	15.013	9.101	23.441	14.985	28.611	11.237	25.276
1970	27.602	22.69	23.407	9.365	20.415	21.627	21.258	17.777	14.251	31.768	15.269	27.931	3.51	14.65	8.918	23.089	14.732	28.177	10.763	24.49
1971	27.074	22.019	23.072	9.117	20.143	21.22	21.096	17.494	13.744	31.054	14.954	27.817	NA	14.305	8.765	22.742	14.494	27.738	10.301	23.716
