"date","n_refugees"
2011-12-16,8000
2012-01-15,9500
2012-01-19,12249
2012-01-24,12386
2012-01-27,18676
2012-01-31,18861
2012-02-10,18704
2012-02-14,19654
2012-02-17,20043
2012-02-24,20437
2012-02-29,21767
2012-03-01,21959
2012-03-02,22101
2012-03-07,22131
2012-03-15,23317
2012-03-16,24142
2012-03-22,25334
2012-03-29,25830
2012-03-31,26628
2012-04-16,29599
2012-04-18,45011
2012-04-20,45183
2012-04-21,45183
2012-04-23,46589
2012-04-24,46959
2012-04-25,54978
2012-04-26,55754
2012-04-27,56116
2012-04-30,58670
2012-05-01,58754
2012-05-02,59350
2012-05-03,59841
2012-05-06,60167
2012-05-07,60410
2012-05-08,60736
2012-05-09,61291
2012-05-11,62133
2012-05-14,63354
2012-05-16,64551
2012-05-17,65445
2012-05-20,66410
2012-05-21,66667
2012-05-23,67539
2012-05-24,68311
2012-05-27,69004
2012-05-28,69410
2012-05-29,69860
2012-05-30,70206
2012-05-31,71749
2012-06-01,73630
2012-06-04,75444
2012-06-05,76445
2012-06-06,76778
2012-06-07,78579
2012-06-10,79360
2012-06-11,79754
2012-06-12,80878
2012-06-14,82904
2012-06-21,87269
2012-06-22,91998
2012-06-24,92358
2012-06-25,92814
2012-06-26,94497
2012-06-27,95991
2012-06-29,97378
2012-06-30,98302
2012-07-03,99892
2012-07-04,101912
2012-07-05,103474
2012-07-06,104196
2012-07-10,106691
2012-07-11,106945
2012-07-12,110879
2012-07-14,111268
2012-07-15,111268
2012-07-16,111847
2012-07-18,115014
2012-07-19,115014
2012-07-20,122304
2012-07-22,122541
2012-07-23,123246
2012-07-24,124421
2012-07-25,126380
2012-07-26,126657
2012-07-29,126881
2012-07-30,128081
2012-07-31,129857
2012-08-01,130780
2012-08-02,130613
2012-08-03,130820
2012-08-06,131307
2012-08-07,133843
2012-08-08,137106
2012-08-09,138410
2012-08-10,142658
2012-08-14,153028
2012-08-15,158201
2012-08-16,158716
2012-08-17,159677
2012-08-21,160616
2012-08-22,169949
2012-08-23,175573
2012-08-24,175893
2012-08-25,181057
2012-08-26,181535
2012-08-27,186735
2012-08-28,187956
2012-08-29,190154
2012-08-30,193513
2012-08-31,199471
2012-09-02,200063
2012-09-03,205027
2012-09-04,206353
2012-09-05,208140
2012-09-06,208665
2012-09-07,211932
2012-09-09,212456
2012-09-10,212882
2012-09-11,213671
2012-09-12,218087
2012-09-13,219925
2012-09-14,220712
2012-09-16,222165
2012-09-17,223258
2012-09-18,225100
2012-09-19,226414
2012-09-20,231575
2012-09-21,235539
2012-09-23,235821
2012-09-24,237653
2012-09-25,238835
2012-09-26,241177
2012-09-27,246131
2012-09-28,250791
2012-09-30,251406
2012-10-01,252758
2012-10-02,254278
2012-10-03,255582
2012-10-04,262423
2012-10-05,265360
2012-10-08,269182
2012-10-09,270051
2012-10-10,272634
2012-10-11,273733
2012-10-12,277258
2012-10-15,277729
2012-10-16,281418
2012-10-17,283003
2012-10-18,288258
2012-10-19,290151
2012-10-21,290453
2012-10-22,292161
2012-10-23,295606
2012-10-24,299121
2012-10-25,299818
2012-10-29,300720
2012-10-30,301867
2012-10-31,305317
2012-11-01,306555
2012-11-02,314180
2012-11-04,314137
2012-11-05,320225
2012-11-06,322597
2012-11-07,326025
2012-11-08,327763
2012-11-09,328682
2012-11-11,328547
2012-11-12,357545
2012-11-13,359273
2012-11-14,364020
2012-11-15,364047
2012-11-16,365585
2012-11-17,365623
2012-11-18,371645
2012-11-19,379626
2012-11-20,380895
2012-11-21,385224
2012-11-22,387675
2012-11-23,389020
2012-11-24,389343
2012-11-25,389562
2012-11-26,396760
2012-11-27,399149
2012-11-28,403490
2012-11-29,405890
2012-11-30,407070
2012-12-01,407100
2012-12-02,409598
2012-12-03,411428
2012-12-04,414407
2012-12-05,416984
2012-12-06,430804
2012-12-07,431979
2012-12-08,432790
2012-12-09,434299
2012-12-10,437433
2012-12-11,442279
2012-12-12,444808
2012-12-13,448013
2012-12-14,450328
2012-12-16,452826
2012-12-17,457653
2012-12-18,459948
2012-12-19,463236
2012-12-20,475552
2012-12-21,478399
2012-12-22,478674
2012-12-23,480467
2012-12-24,483915
2012-12-25,483939
2012-12-26,485922
2012-12-27,490581
2012-12-28,493423
2012-12-29,494818
2012-12-30,495781
2012-12-31,497965
2013-01-01,501651
2013-01-02,506097
2013-01-03,507962
2013-01-04,509402
2013-01-05,509575
2013-01-06,518511
2013-01-07,520371
